"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"ACP";"Microwave";"RCS10TS";"selfpay";;"SAYS NOT HEATING ANDF HAVE PROBLEM WITH THE HANDLES, POSSIBLY FIX THEM BEFORE THEY BREAK.";;;"59004010";;;;;;;"14124069";"CRM";;;;;;;"Mag";;;;;;;"Door Handle";"5/14/24";;;;;;
"Amana";"Microwave";"RCS10TS";"Commerical Microwave";;"SPARKING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ACP";"Microwave";"MOC24RB";;;"CHECK OUT ALL UNITS FOR PROBLEMS. (THEY ARE NOT GOING TO FIX ALL 9)";;;"14179117";;;;;;;"14189146";"14090031";;;"14189146";"	20057401";"59004013";;"Ceramic Tray";;;;;;;"Kit, Lwr Antenna";"Interlock Assy";;;"Kit, Upper Ant";"HV Diode CL04-12A";"Mag 2M248K(A)";
"19 Compass";"display";"P68396668AE";;;"DISPLAY IS BLANK, HAS NO CONTROLS ON IT.";;;"reman";;;;;;;;;;;;;;;"275";;;;;;;;;;;;;;
"Yamaha";"speaker";"NS-690";;;"CHECK FOR ISSUES, WAS TOLD 25 YEARS AGO THAT AT LEAST ONE NEEDED FIXED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"08 Town &Tour";"am/fm/cd";;;;"NO IMAGE ON THE SCREEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-3280";;;"NO DESCRIPTION";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-3280";;;"NO DDESCRIPTION";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panasonic";"Microwave";"NE-3280";;;"NO DESCRIPTION";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Menumaster";"Microwave";"MFS18TS";;;;;;"53002003";;;;;;;;"14164113";;;;;;;"Ant Shield 51.03";;;;;;;"Door Paint";"Interlock  63.08";;;;;;
